BUS;P_MAX;P_MIN;Q_MAX;Q_MIN;status;P_COSTE2;P_COSTE1;P_COSTE0
124;1000;333.33;440.32;-172.59;1;0;10.258323;0
150;160;0;77.09;-22.54;1;0;35.739304;0
221;100;-207.18;183.92;-65.3;1;0;25.382856;0
338;120;0;55.54;-19.16;1;0;22.57053;0
352;2000;666.67;926.35;-297.68;1;0;24.410748;0
413;280;0;124.12;-49.84;1;0;37.397266;0
453;540;0;257.23;-74.4;1;0;14.602967;0
516;600;200;261.79;-106.67;1;0;6.171706;0
564;100;-68.89;18.47;-19.35;1;0;26.392883;0
583;100;-360;17.88;-7.03;1;0;29.720369;0
615;40;0;17.09;-7.79;1;0;35.601645;0
616;480;160;217.9;-81.16;1;0;19.829521;0
639;100;-61.6;135.52;-38.9;1;0;15.01068;0
682;80;0;38.77;-11.06;1;0;9.860522;0
749;240;0;105.69;-43.84;1;0;11.144193;0
757;120;0;51.3;-23.41;1;0;0.348478;0
776;100;-148.53;18.16;-6.73;1;0;45.48034;0
778;33.58;0;12.37;-9.36;1;0;48.260283;0
795;80;0;36.75;-13.04;1;0;28.185912;0
803;100;-118.93;74.03;-25.54;1;0;32.876654;0
823;2000;666.67;926.68;-298.31;1;0;29.050011;0
851;200;0;96.64;-27.81;1;0;17.693424;0
858;1000;333.33;440.67;-172.15;1;0;28.179452;0
891;2400;800;1097.41;-373.91;1;0;16.78295;0
972;2000;666.67;934.73;-291.52;1;0;34.077711;0
1001;120;0;55.02;-19.81;1;0;25.254765;0
1002;200;0;89.55;-35.15;1;0;25.888316;0
1043;900;300;387.88;-163.4;1;0;38.064806;0
1083;120;0;54.91;-19.88;1;0;35.093256;0
1093;1200;400;550.69;-185.15;1;0;33.895058;0
1100;80;0;36.8;-13.01;1;0;42.531078;0
1102;100;-165.54;38.05;-11.59;1;0;44.703485;0
1237;2000;666.67;906.61;-319.44;1;0;19.144125;0
1251;1200;400;550.69;-185.15;1;0;39.146988;0
1295;100;-165.47;36.92;-12.88;1;0;32.283038;0
1341;120;0;57.03;-17.62;1;0;33.961897;0
1354;100;-328.67;38.08;-11.73;1;0;24.001968;0
1422;100;-134.67;18.09;-6.79;1;0;26.922445;0
1436;80;0;37.72;-12.09;1;0;28.934071;0
1478;80;0;36.4;-13.44;1;0;29.194991;0
1604;80;0;37.66;-12.17;1;0;39.793039;0
1642;80;0;37.74;-12.11;1;0;43.399752;0
1680;2000;666.67;928.89;-296.1;1;0;20.054935;0
1708;1000;333.33;439.37;-173.3;1;0;18.252906;0
1721;40;0;18.52;-6.39;1;0;41.981874;0
1754;41.06;0;16.99;-7.92;1;0;42.98204;0
1794;2000;666.67;926.35;-297.68;1;0;16.220225;0
1808;100;-0.8;111.23;-38.16;1;0;21.265424;0
1851;31.92;0;11.76;-8.89;1;0;17.662994;0
1852;100;-322.4;58.16;-16.52;1;0;15.838148;0
1888;912.78;312.78;396.02;-155.83;1;0;6.883722;0
1914;472.16;39.35;160.36;-150.95;1;0;118.07669;0
1959;40;0;18.14;-6.75;1;0;19.82896;0
2035;1000;333.33;441.85;-171.27;1;0;18.889404;0
2050;2000;666.67;962.2;-263.65;1;0;32.470152;0
2085;200;0;88.39;-36.19;1;0;26.491829;0
2177;100;-161.73;58.35;-16.26;1;0;24.981434;0
2197;100;-71.05;19.51;-14.74;1;0;38.427501;0
2276;119.3;0;41.67;-36.5;1;0;38.894704;0
2291;200;0;95.69;-28.93;1;0;34.810352;0
2359;80;0;34.35;-15.5;1;0;32.089221;0
2421;100;-427.2;37.39;-12.45;1;0;24.960517;0
2425;100;-134;54.3;-20.49;1;0;40.587389;0
2426;100;-57.6;105.34;-99.02;1;0;36.44582;0
2446;2000;666.67;921.62;-304.73;1;0;6.803769;0
2468;80;0;38.02;-11.81;1;0;27.474887;0
2481;80;0;39.12;-10.71;1;0;28.188143;0
2489;360;0;162.4;-61.79;1;0;27.672537;0
2550;120;0;58.23;-16.49;1;0;37.476158;0
2600;160;0;76.08;-23.59;1;0;38.32436;0
2627;2000;666.67;921.52;-304.79;1;0;29.361646;0
2653;120;0;51.94;-22.8;1;0;46.894604;0
2719;196.72;0;70.15;-58.1;1;0;33.066585;0
2786;2000;666.67;934.81;-291.47;1;0;10.656581;0
2797;100;-126.8;88.33;-36.33;1;0;15.138451;0
2799;160;0;77.91;-21.66;1;0;34.209845;0
2816;2000;666.67;926.26;-297.74;1;0;24.094682;0
2841;120;0;55.98;-18.76;1;0;24.965438;0
2842;40;0;18.19;-6.74;1;0;23.765406;0
2872;9.05;0;3.31;-2.54;1;0;30.752977;0
2878;214.86;0;72.95;-68.71;1;0;22.474015;0
2886;120;0;57.69;-17.02;1;0;34.978644;0
2902;40;0;19.19;-5.72;1;0;30.995415;0
2930;80;0;37.24;-12.54;1;0;18.020307;0
2934;6.83;0;2.51;-1.91;1;0;22.902755;0
2985;493.35;0;184.46;-132.67;1;0;28.059178;0
3018;200;0;89.61;-34.82;1;0;31.565151;0
3028;1000;333.33;441.85;-171.27;1;0;23.86504;0
3114;40;0;17.33;-7.61;1;0;19.68005;0
3133;240;0;113.97;-35.56;1;0;26.499589;0
3134;100;-181.73;70.25;-29.33;1;0;28.385891;0
3183;120;0;53.7;-20.98;1;0;39.23531;0
3205;540;0;243.61;-88.46;1;0;31.599182;0
3218;100;-143.2;36.79;-13;1;0;30.64784;0
3240;100;-56.4;62.23;-51.37;1;0;38.31144;0
3306;1000;333.33;439.2;-173.43;1;0;7.517541;0
3324;100;-35.3;38.13;-11.64;1;0;14.951813;0
3346;80;0;37.1;-12.76;1;0;24.810462;0
3353;80;0;38.2;-11.61;1;0;79.708144;0
3364;135.27;0;47.19;-41.44;1;0;23.802999;0
3390;120;0;54.59;-20.19;1;0;34.702382;0
3422;120;0;58.19;-16.5;1;0;38.611659;0
3436;1200;400;550.97;-184.89;1;0;7.619883;0
3492;100;-494.4;53.75;-21.08;1;0;42.1954;0
3513;900;300;387.88;-163.4;1;0;7.253371;0
3565;80;0;38.83;-10.97;1;0;37.314915;0
3580;600;0;261.7;-107.36;1;0;31.383243;0
3611;100;-167.2;54.59;-20.12;1;0;22.446061;0
3656;100;-34.93;116.07;-33.32;1;0;27.981934;0
3661;1000;333.33;441.04;-172.05;1;0;100.586864;0
3698;100;-16.78;36.34;-13.47;1;0;33.204589;0
3741;1200;400;548.57;-187.16;1;0;7.122779;0
3809;700;233.33;313.01;-116.73;1;0;18.6669;0
3825;900;300;388.17;-163.4;1;0;7.550981;0
3869;1000;333.33;440.69;-172.14;1;0;35.604133;0
3876;100;-33.47;34.27;-15.52;1;0;19.804309;0
3916;100;-28.37;38.02;-11.77;1;0;26.144799;0
3951;100;-36.13;126.16;-127.56;1;0;44.14781;0
3971;100;-179.33;55.67;-19.09;1;0;35.562693;0
4024;200;0;97.07;-27.44;1;0;35.807424;0
4056;100;-102.53;38.05;-11.77;1;0;39.446996;0
4084;600;0;264.94;-103.74;1;0;18.53867;0
4118;80;0;38.37;-11.4;1;0;30.90988;0
4125;80;0;36.89;-13;1;0;30.544167;0
4128;120;0;57.03;-17.63;1;0;35.965332;0
4231;4188.95;1333.33;99999;-99999;1;0;7.051011;0
4331;80;0;36.73;-13.12;1;0;42.356822;0
4395;100;-172.13;38.48;-11.33;1;0;27.296003;0
4419;1000;333.33;441.04;-172.05;1;0;30.938094;0
4480;1000;333.33;439.2;-173.43;1;0;28.931033;0
4482;80;0;38.85;-10.95;1;0;22.588806;0
4506;100;-229.07;37.86;-11.95;1;0;37.302716;0
4566;100;-40.51;37.94;-11.87;1;0;37.977313;0
4624;80;0;35.62;-14.19;1;0;4.345048;0
4661;100;-105.2;19.14;-5.77;1;0;22.462959;0
4701;281.85;0;98.4;-86.29;1;0;19.814769;0
4783;1000;333.33;439.2;-173.43;1;0;8.0167;0
4816;100;-34.77;38.37;-11.44;1;0;20.456068;0
4819;1000;333.33;440.69;-172.14;1;0;44.670249;0
4823;10.46;0;4.44;-2.07;1;0;43.366752;0
4850;160;0;76.52;-23.19;1;0;36.105171;0
4880;100;-53.73;75.62;-23.96;1;0;25.107671;0
4918;80;0;37.27;-12.57;1;0;37.943609;0
4952;100;-16.77;37.23;-12.61;1;0;33.086316;0
5004;220.12;0;74.73;-70.41;1;0;36.303918;0
5019;80;0;37.72;-12.09;1;0;29.260622;0
5051;160;0;74.55;-24.97;1;0;98.992318;0
5067;600;0;258.91;-109.58;1;0;27.405063;0
5110;100;-70.01;38.28;-11.5;1;0;17.378434;0
5120;120;0;56.35;-18.42;1;0;34.198047;0
5144;2000;666.67;882.86;-343.24;1;0;36.694475;0
5237;160;0;75.02;-24.74;1;0;37.735549;0
5278;120;0;51.3;-23.49;1;0;8.912924;0
5340;100;-212;36.37;-13.43;1;0;38.250898;0
5365;40;0;18.14;-6.75;1;0;14.979523;0
5379;2000;666.67;926.47;-297.63;1;0;28.53811;0
5395;100;-527.73;58.06;-16.66;1;0;39.424853;0
5461;80;0;38.26;-11.55;1;0;39.296805;0
5481;2000;666.67;920.31;-305.64;1;0;14.861628;0
5482;249.06;0;101.32;-48.12;1;0;29.670276;0
5486;1000;333.33;441.04;-172.05;1;0;33.798273;0
5488;100;-128.53;37.49;-12.33;1;0;28.33667;0
5490;4000;1333.33;1765.36;-686.67;1;0;18.404323;0
5533;200;0;88.87;-35.71;1;0;41.060039;0
5546;40;0;19.16;-5.75;1;0;32.08086;0
5564;80;0;36.8;-12.99;1;0;33.555466;0
5658;240;0;103.18;-46.25;1;0;13.210681;0
5664;160;0;72.71;-27.05;1;0;32.184103;0
5709;1200;400;550.69;-185.15;1;0;16.825774;0
5781;1800;600;779.29;-324.79;1;0;30.459416;0
5814;440;146.67;196.98;-77.17;1;0;31.825995;0
5856;480;160;214.13;-85;1;0;25.704435;0
5881;80;0;36.72;-13.13;1;0;113.881521;0
5940;100;-99.87;17.21;-7.73;1;0;48.679477;0
5971;2000;666.67;934.54;-291.64;1;0;37.090734;0
5983;100;-136.67;37.27;-12.59;1;0;44.629615;0
5994;100;-116.4;60.51;-61.08;1;0;4.688;0
6036;900;300;390.4;-161.16;1;0;7.924707;0
6153;769.94;32.08;249.65;-261.82;1;0;15.196866;0
6168;53.76;0;19.86;-14.93;1;0;31.536394;0
6291;120;0;58.12;-16.6;1;0;41.05166;0
6331;80;0;37.76;-12.05;1;0;36.290422;0
6332;200;0;96.56;-27.95;1;0;16.038621;0
6351;80;0;38.29;-11.56;1;0;32.583295;0
6368;100;-193.73;51.11;-23.46;1;0;18.644095;0
6376;100;-37.07;148.65;-50.73;1;0;25.524756;0
6429;200;0;88.83;-35.69;1;0;36.090071;0
6474;1000;333.33;438.72;-174.15;1;0;43.804954;0
6516;280;0;126.73;-47.83;1;0;26.393553;0
6552;100;-272.27;37.58;-12.16;1;0;47.182687;0
6734;720;0;311.52;-132.09;1;0;14.350508;0
6807;160;0;77.14;-22.46;1;0;14.275729;0
6816;160;0;77.35;-22.26;1;0;24.479866;0
6820;32.53;0;11.99;-9.06;1;0;114.612148;0
6831;100;-76.67;35.62;-14.25;1;0;32.065876;0
6845;120;0;53.24;-21.47;1;0;29.385085;0
6852;100;-459.87;18.56;-6.34;1;0;36.659346;0
6857;4000;1333.33;1865.83;-585.95;1;0;4.6021;0
6888;300;88.67;189.31;-59.87;1;0;58.771001;0
6947;280;0;126.09;-48.29;1;0;15.431582;0
6969;80;0;38.53;-11.27;1;0;13.723693;0
6982;100;-16.8;56.22;-18.44;1;0;32.352216;0
7036;80;0;36.16;-13.72;1;0;20.730786;0
7049;120;0;58.18;-16.56;1;0;20.377738;0
7056;600;200;267.36;-100.98;1;0;40.796242;0
7115;272.28;0;95.06;-83.34;1;0;30.862032;0
7159;1000;333.33;441.04;-172.05;1;0;108.591549;0
7183;2000;666.67;926.47;-297.63;1;0;27.581419;0
7209;7.35;0;3.12;-1.46;1;0;27.043459;0
7267;100;-52.93;89.84;-34.84;1;0;21.416613;0
7282;4000;1333.33;1862.29;-588.16;1;0;30.046106;0
7327;160;0;76.11;-23.62;1;0;10.516844;0
7328;80;0;37.45;-12.39;1;0;38.480527;0
7466;100;-270.04;75.85;-77.06;1;0;16.949368;0
7474;120;0;56.27;-18.41;1;0;35.930196;0
7495;200;50.53;214.23;-59.77;1;0;35.338887;0
7520;800;266.67;350.36;-140.73;1;0;125.432468;0
7522;800;266.67;371.11;-119.67;1;0;22.267272;0
7641;880;200;378.21;-162.35;1;0;36.167106;0
7697;280;0;126.73;-47.83;1;0;47.880191;0
7776;2000;666.67;934.73;-291.52;1;0;27.496344;0
7808;2000;666.67;926.35;-297.68;1;0;6.877423;0
7842;200;0;90.08;-34.56;1;0;16.624602;0
7913;2000;666.67;920.41;-305.58;1;0;26.486972;0
7998;900;300;391.57;-160.95;1;0;7.223432;0
8043;100;-36;75.67;-23.96;1;0;36.240526;0
8109;1041.6;0;99999;-99999;1;0;19.992726;0
8158;200;0;91.67;-33.01;1;0;37.11068;0
8222;80;0;35.76;-14.05;1;0;28.712216;0
8225;40;0;19.49;-5.42;1;0;24.618848;0
8267;240;0;106.84;-42.56;1;0;35.43631;0
8311;100;-11.66;17.8;-7.13;1;0;45.891711;0
8312;2400;800;1096.33;-374.64;1;0;15.267867;0
8458;1000;333.33;474.42;-138.49;1;0;17.024605;0
8473;100;-180;90.21;-34.45;1;0;18.694214;0
8486;80;0;34.16;-15.67;1;0;23.018016;0
8515;200;0;93.03;-31.43;1;0;44.414252;0
8522;100;-100.92;3.61;-1.69;1;0;29.775924;0
8564;100;-86.67;51.91;-22.86;1;0;32.154391;0
8670;100;-184.4;37.4;-12.46;1;0;26.881811;0
8676;100;-345.47;34.92;-14.96;1;0;27.611359;0
8683;100;-49.7;54.32;-20.39;1;0;29.035248;0
8721;2000;666.67;932.68;-293.14;1;0;7.254581;0
8795;240;0;111.7;-37.85;1;0;20.431142;0
8807;100;-405.33;35.84;-14.07;1;0;6.627975;0
8818;160;0;76.87;-22.75;1;0;25.290669;0
8872;2000;666.67;932.68;-293.14;1;0;6.788336;0
8903;86.73;0;28.99;-28.41;1;0;32.955551;0
8950;100;-340.94;38.23;-11.61;1;0;23.216139;0
8961;100;-82.4;53.52;-50.38;1;0;29.401074;0
8976;200;0;95.65;-28.95;1;0;39.847228;0
8997;317.09;0;107.59;-101.48;1;0;40.538048;0
9067;440;146.67;198.07;-76.34;1;0;46.039685;0
9101;1000;333.33;442.99;-169.92;1;0;20.919809;0
9108;100;-318.97;18.65;-14.16;1;0;22.912024;0
9137;100;28.47;335.96;-93.23;1;0;7.875199;0
9140;100;-49.6;73.19;-26.48;1;0;23.648506;0
9150;1000;333.33;439.38;-173.28;1;0;42.222299;0
9174;100;-441.87;175;-49.16;1;0;47.645603;0
9180;160;0;77.69;-21.97;1;0;33.579005;0
