bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
2112;1;-18.45662473;0;0;10.79583022;5;1;0;33;1;1.1;0.9
2114;2;0;0;0;0;5;1;0;13.8;1;1.1;0.9
2115;2;0;0;0;0;5;1;0;13.8;1;1.1;0.9
2116;2;0;0;0;0;5;1;0;13.8;1;1.1;0.9
2117;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2118;2;1.437843024;0;0;0;5;1;0;13.8;1;1.1;0.9
2119;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2120;1;0;0;0;0;5;1;0;11.5;1;1.1;0.9
2121;1;0;0;0;0;5;1;0;11.5;1;1.1;0.9
2122;1;0;0;0;0;5;1;0;11.5;1;1.1;0.9
2123;2;0;0;0;0;5;1;0;11.5;1;1.1;0.9
2124;2;5.341114258;1.845282858;0;0;5;1;0;14.5;1;1.1;0.9
2125;2;0;0;0;0;5;1;0;13.2;1;1.1;0.9
2126;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2127;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2128;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2129;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2130;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2131;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2132;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2133;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2134;2;0;0;0;0;5;1;0;18;1;1.1;0.9
2135;2;0;0;0;0;5;1;0;18;1;1.1;0.9
2136;3;0;0;0;0;5;1;0;18;1;1.1;0.9
2137;1;0;0;0;0;5;1;0;6.6;1;1.1;0.9
2138;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2139;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2140;2;0;0;0;0;5;1;0;16;1;1.1;0.9
2141;1;0;0;0;0;5;1;0;16;1;1.1;0.9
2142;2;0;0;0;0;5;1;0;16;1;1.1;0.9
2143;2;0;0;0;0;5;1;0;16;1;1.1;0.9
2144;2;0;0;0;0;5;1;0;16;1;1.1;0.9
2145;1;0;0;0;0;5;1;0;16;1;1.1;0.9
2146;1;-7.487572283;0;0;0;5;1;0;0.69;1;1.1;0.9
2147;1;0;0;0;0;5;1;0;22;1;1.1;0.9
2148;2;0;0;0;0;5;1;0;1;1;1.1;0.9
2149;1;0;0;0;-5.707333616;5;1;0;13.8;1;1.1;0.9
2150;1;0;0;0;-6.037795464;5;1;0;13.8;1;1.1;0.9
2152;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2153;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2155;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2156;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2157;1;0;0;0;0;5;1;0;110;1;1.1;0.9
