BUS;P_MAX;P_MIN;Q_MAX;Q_MIN;status;P_COSTE0;P_COSTE1;P_COSTE2
49;4.53;1.36;2.11;-0.55;1;236.12;19;0.002
50;4.53;1.36;2.11;-0.55;1;236.12;19;0.002
51;4.53;1.36;2.11;-0.55;1;236.12;19;0.002
52;4.53;1.36;2.11;-0.55;1;236.12;19;0.002
53;9.07;2.72;4.23;-1.11;1;236.24;19;0.002
65;86.5;86.5;32.04;-21.66;1;0;0;0
67;4.7;1.41;2.19;-0.57;1;236.13;19;0.002
68;27.92;8.38;13.01;-3.41;1;236.74;19;0.002
69;27.92;8.38;13.01;-3.41;1;236.74;19;0.002
70;27.92;8.38;13.01;-3.41;1;236.74;19;0.002
71;27.92;8.38;13.01;-3.41;1;236.74;19;0.002
72;27.92;8.38;13.01;-3.41;1;236.74;19;0.002
73;27.92;8.38;13.01;-3.41;1;236.74;19;0.002
76;4;1.2;2.04;-0.44;1;606;23.157;0.002
77;2.4;0.72;1.22;-0.27;1;603.6;23.146;0.002
78;18;5.4;9.16;-2;1;627;23.252;0.002
79;18;5.4;9.16;-2;1;627;23.252;0.002
90;3.2;0.96;1.63;-0.36;1;604.8;23.152;0.002
91;5;1.5;2.55;-0.55;1;607.5;23.164;0.002
92;6.3;1.89;3.21;-0.7;1;609.45;23.173;0.002
94;18;5.4;8.39;-2.2;1;236.48;19;0.002
104;67.6;67.6;21.09;-14.26;1;0;0;0
105;154.8;154.8;42.17;-28.51;1;0;0;0
114;1.4;1.4;0.36;-0.24;1;0;0;0
115;133.5;133.5;31.95;-21.6;1;0;0;0
125;130.05;39.02;60.6;-15.87;1;610.14;19;0.002
126;130.05;39.02;60.6;-15.87;1;610.14;19;0.002
127;130.05;39.02;60.6;-15.87;1;610.14;19;0.002
135;446.4;133.92;208.02;-54.46;1;1261.33;19;0.002
136;446.4;133.92;208.02;-54.46;1;1261.33;19;0.002
147;92.4;92.4;21.41;-14.47;1;0;0;0
151;5.4;1.62;2.52;-0.66;1;236.14;19;0.002
152;77.22;23.17;35.99;-9.42;1;253.01;19;0.002
153;77.22;23.17;35.99;-9.42;1;253.01;19;0.002
154;77.22;23.17;35.99;-9.42;1;253.01;19;0.002
155;77.22;23.17;35.99;-9.42;1;253.01;19;0.002
161;138.6;41.58;70.55;-15.38;1;807.9;24.07;0.002
164;12;3.6;6.11;-1.33;1;618;23.211;0.002
165;26;7.8;13.23;-2.89;1;639;23.306;0.002
166;9.4;2.82;4.78;-1.04;1;614.1;23.194;0.002
167;9.4;2.82;4.78;-1.04;1;614.1;23.194;0.002
168;9.4;2.82;4.78;-1.04;1;614.1;23.194;0.002
169;9.4;2.82;4.78;-1.04;1;614.1;23.194;0.002
170;9.4;2.82;4.78;-1.04;1;614.1;23.194;0.002
182;17.5;5.25;8.16;-2.14;1;236.47;19;0.002
183;26.6;7.98;12.4;-3.25;1;236.71;19;0.002
189;569.15;170.75;209.45;-46.67;1;1272.13;6.71;0
196;67.5;20.25;34.36;-7.49;1;701.25;23.588;0.002
197;67.5;20.25;34.36;-7.49;1;701.25;23.588;0.002
