BUS;PD;QD;Vmax;Vmin;baseKV;zone
1;0;0;1.1;0.9;115;2
2;7.39;2.1;1.1;0.9;115;2
3;0;0;1.1;0.9;115;4
4;1.7;0.48;1.1;0.9;115;4
5;0;0;1.1;0.9;115;6
6;7.95;2.26;1.1;0.9;115;6
7;0;0;1.1;0.9;115;2
8;23.74;6.77;1.1;0.9;115;2
9;0;0;1.1;0.9;115;2
10;42.68;12.16;1.1;0.9;115;2
11;0;0;1.1;0.9;115;4
12;0.3;0.09;1.1;0.9;115;4
13;2.52;0.72;1.1;0.9;115;4
14;0;0;1.1;0.9;230;4
15;0;0;1.1;0.9;115;4
16;44.76;12.76;1.1;0.9;115;4
17;0;0;1.1;0.9;115;4
18;0.71;0.2;1.1;0.9;115;4
19;0.77;0.22;1.1;0.9;115;4
20;1.13;0.32;1.1;0.9;115;4
21;4.61;1.31;1.1;0.9;115;4
22;0;0;1.1;0.9;115;4
23;1.41;0.4;1.1;0.9;115;4
24;2.4;0.68;1.1;0.9;115;4
25;0;0;1.1;0.9;115;6
26;1.35;0.39;1.1;0.9;115;6
27;0;0;1.1;0.9;115;4
28;2.33;0.67;1.1;0.9;115;4
29;0;0;1.1;0.9;115;2
30;59.09;16.84;1.1;0.9;115;2
31;0;0;1.1;0.9;115;7
32;0.51;0.15;1.1;0.9;115;7
33;6.44;1.84;1.1;0.9;115;7
34;0;0;1.1;0.9;115;4
35;20.76;5.92;1.1;0.9;115;4
36;0;0;1.1;0.9;115;7
37;3.57;1.02;1.1;0.9;115;7
38;29.81;8.5;1.1;0.9;115;7
39;7.41;2.11;1.1;0.9;115;4
40;2.04;0.58;1.1;0.9;115;4
41;38.34;10.93;1.1;0.9;115;5
42;10.62;3.03;1.1;0.9;115;4
43;2.09;0.59;1.1;0.9;115;2
44;4.15;1.18;1.1;0.9;115;4
45;0;0;1.1;0.9;230;7
46;6.34;1.81;1.1;0.9;115;7
47;1.54;0.44;1.1;0.9;115;4
48;1.82;0.52;1.1;0.9;115;6
49;0;0;1.1;0.9;13.8;6
50;0;0;1.1;0.9;13.8;6
51;0;0;1.1;0.9;13.8;6
