bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1001;1;0;0;0;0;10;1;0;500;1;1.1;0.9
1002;1;226.8419;-37.472;0;0;10;1;0;345;1;1.1;0.9
1003;1;2153.3224;366.856;0;0;10;1;0;230;1;1.1;0.9
1004;1;1037.9499;5.521;0;0;10;1;0;345;1;1.1;0.9
1032;2;0;0;0;0;10;1;0;20;1;1.1;0.9
1034;2;0;0;0;0;10;1;0;20;1;1.1;0.9
1101;1;4527.3661;-137.044;0;0;10;1;0;500;1;1.1;0.9
1102;1;176.4436;23.004;0;0;10;1;0;345;1;1.1;0.9
1131;2;0;0;0;0;10;1;0;20;1;1.1;0.9
1201;1;166.9882;-2.012;0;0;10;1;0;500;1;1.1;0.9
1202;1;875.61;287.131;0;0;10;1;0;500;1;1.1;0.9
1232;2;0;0;0;0;10;1;0;20;1;1.1;0.9
1301;1;2704.7793;352.826;0;0;10;1;0;500;1;1.1;0.9
1302;1;17.5556;2.304;0;0;10;1;0;500;1;1.1;0.9
1303;1;6235.136;813.349;0;0;10;1;0;345;1;1.1;0.9
1331;2;0;0;0;0;10;1;0;20;1;1.1;0.9
1333;2;0;0;0;0;10;1;0;20;1;1.1;0.9
1401;1;6535.5365;1524.594;0;0;10;1;0;500;1;1.1;0.9
1402;1;5366.6305;-600.162;0;0;10;1;0;500;1;1.1;0.9
1403;1;0;0;0;0;10;1;0;230;1;1.1;0.9
1431;2;0;0;0;0;10;1;0;20;1;1.1;0.9
2000;1;2207.188;287.916;0;0;20;1;0;230;1;1.1;0.9
2030;2;0;0;0;0;20;1;0;20;1;1.1;0.9
2100;1;281.1513;54.83;0;0;21;1;0;230;1;1.1;0.9
2130;2;0;0;0;0;21;1;0;20;1;1.1;0.9
2201;1;0;0;0;0;22;1;0;500;1;1.1;0.9
2202;1;1545.949;268.565;0;0;22;1;0;230;1;1.1;0.9
2203;1;1708.5525;278.273;0;0;22;1;0;230;1;1.1;0.9
2233;2;0;0;0;0;22;1;0;20;1;1.1;0.9
2301;1;0;0;0;0;22;1;0;500;1;1.1;0.9
2302;1;0;0;0;0;22;1;0;230;1;1.1;0.9
2332;2;0;0;0;0;22;1;0;20;1;1.1;0.9
