bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
2;60.3;0;35.83;-35.83;1;100;1;100;20.6;0;49.209653;0
6;61.435;0;35.79;-35.79;1;100;1;100;22.87;0;34.006675;0
10;95.83;0;500;-500;1;100;1;115.09;76.57;0;25.106965;0
12;0;0;33.33;-33.33;1;100;0;32.21;17.2;0;58.206079;0
15;60.3;0;35.83;-35.83;1;100;1;100;20.6;0;9.893291;0
16;61.435;0;35.79;-35.79;1;100;1;100;22.87;0;33.11428;0
17;0;0;33.33;-33.33;1;100;0;46.49;31.49;0;35.257322;0
24;61.435;0;35.79;-35.79;1;100;1;100;22.87;0;40.297111;0
26;60.3;0;35.83;-35.83;1;100;1;100;20.6;0;21.658659;0
27;61.435;0;35.79;-35.79;1;100;1;100;22.87;0;34.442063;0
30;0;0;33.33;-33.33;1;100;0;31.22;16.21;0;106.974537;0
34;61.435;0;35.79;-35.79;1;100;1;100;22.87;0;16.12127;0
44;61.435;0;35.79;-35.79;1;100;1;100;22.87;0;6.211727;0
45;60.3;0;35.83;-35.83;1;100;1;100;20.6;0;37.825795;0
64;873.77;0;500;-500;1;100;1;1195.77;551.77;0;6.721011;0
65;55.595;0;60.05;-60.05;1;100;1;100;11.19;0;23.763503;0
82;55.595;0;60.05;-60.05;1;100;1;100;11.19;0;32.182059;0
89;137;14.97;149.7;-119.76;1;100;1;274;0;0;28.431035;0
96;55.595;0;60.05;-60.05;1;100;1;100;11.19;0;29.655946;0
105;0;0;33.33;-33.33;1;100;0;297;1.83;0;21.564734;0
108;144;0;61.1;-61.1;1;100;1;288;0;0;55.619684;0
117;141;0;61.1;-61.1;1;100;1;282;0;0;21.245865;0
126;66.345;0;500;-500;1;100;1;92.8;39.89;0;49.615255;0
128;0;0;33.33;-33.33;1;100;0;315.13;300.13;0;25.964519;0
129;128.04;0;28.32;-28.32;1;200;1;200;56.08;0;15.141744;0
130;128.04;0;28.32;-28.32;1;200;1;200;56.08;0;39.782771;0
131;128.04;0;28.32;-28.32;1;200;1;200;56.08;0;23.267202;0
132;128.04;0;28.32;-28.32;1;200;1;200;56.08;0;32.755385;0
133;128.04;0;28.32;-28.32;1;200;1;200;56.08;0;38.664369;0
134;128.04;0;28.32;-28.32;1;200;1;200;56.08;0;30.800511;0
136;60.435;0;16.78;-16.78;1;100;1;100;20.87;0;36.456662;0
142;129.5;0;86.64;-86.64;1;100;1;259;0;0;33.061085;0
143;710.92;0;500;-500;1;100;1;835.31;586.53;0;41.724068;0
146;0;0;33.33;-33.33;1;100;0;253.15;238.15;0;42.559991;0
150;0;0;33.33;-33.33;1;100;0;158.58;143.58;0;36.769437;0
151;24.97;0;500;-500;1;100;1;49.37;0.57;0;31.571515;0
153;350;0;86.91;-86.91;1;600;1;600;100;0;20.002982;0
157;350;0;86.91;-86.91;1;600;1;600;100;0;24.092809;0
