fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
1;29;0;0.00028;0;167.34;200.81;251.01;0;0;1;-30;30
1;1421;0.0001;0.01;0;166.52;199.82;249.78;0;0;1;-30;30
13;2;0.00125;0.1;0;45.88;55.06;82.59;1.01;0;1;-30;30
3;9;0.00084;0.00355;0;41.29;49.55;74.33;0;0;1;-30;30
3;23;0.00094;0.00313;0;52.06;62.47;93.71;0;0;1;-30;30
4;12;0.00207;0.00925;0;208.73;250.48;313.1;0;0;1;-30;30
4;39;0.00233;0.008;0;206.39;247.67;309.58;0;0;1;-30;30
5;30;0;0.00028;0;199.61;239.53;299.41;0;0;1;-30;30
5;37;0.00244;0.00805;0;202.03;242.44;303.04;0;0;1;-30;30
40;6;0.00125;0.1;0;49.98;59.97;89.96;1.01;0;1;-30;30
7;42;0;0.00028;0;27.48;32.97;49.46;0;0;1;-30;30
8;12;0.00416;0.0195;0;59.12;70.95;106.42;0;0;1;-30;30
9;12;0.00238;0.00783;0;41.39;49.67;74.51;0;0;1;-30;30
10;14;0.00246;0.00908;0;168.69;202.43;303.65;0;0;1;-30;30
10;25;0.0002;0.00092;0;131.45;157.74;236.61;0;0;1;-30;30
10;35;0.01502;0.05819;0;83.45;100.14;150.21;0;0;1;-30;30
10;43;0.00186;0.00691;0;73.37;88.04;132.06;0;0;1;-30;30
10;1425;0.0001;0.01;0;172.67;207.2;259;0;0;1;-30;30
11;25;0.01413;0.06328;0;131.52;157.82;236.73;0;0;1;-30;30
12;20;0.02839;0.12908;0;46.08;55.3;82.95;0;0;1;-30;30
12;28;0.00496;0.01638;0;180.75;216.9;271.13;0;0;1;-30;30
12;41;0.01216;0.05532;0;60.69;72.83;91.04;0;0;1;-30;30
12;1419;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
13;15;0.00125;0.1;0;46.6;55.92;83.88;1.01;0;1;-30;30
13;26;0.00125;0.1;0;46.6;55.92;83.88;1.01;0;1;-30;30
13;30;0.00384;0.00936;0;402.23;482.68;603.35;0;0;1;-30;30
13;40;0;0.00022;0;250.91;301.09;376.37;0;0;1;-30;30
13;45;0.00125;0.1;0;46.6;55.92;83.88;1.01;0;1;-30;30
14;18;0.00036;0.00122;0;169.4;203.28;304.91;0;0;1;-30;30
40;16;0.00125;0.1;0;49.98;59.97;89.96;1.01;0;1;-30;30
17;29;0;0.00028;0;110.55;132.66;165.82;0;0;1;-30;30
17;1416;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
18;38;0;0.00027;0;50;60;90;0;0;1;-30;30
19;22;0.00057;0.00168;0;115.21;138.25;207.37;0;0;1;-30;30
19;43;0.00058;0.00165;0;75.53;90.64;135.96;0;0;1;-30;30
19;46;0;0.00022;0;50;60;90;0;0;1;-30;30
20;23;0.03085;0.10176;0;51.14;61.37;92.05;0;0;1;-30;30
20;33;0.00379;0.01253;0;96.01;115.21;172.82;0;0;1;-30;30
21;35;0.0081;0.02869;0;14.99;17.98;26.97;0;0;1;-30;30
22;33;0.01025;0.03521;0;116.65;139.98;209.97;0;0;1;-30;30
40;24;0.00125;0.1;0;49.98;59.97;89.96;1.01;0;1;-30;30
40;27;0.00125;0.1;0;49.98;59.97;89.96;1.01;0;1;-30;30
28;29;0;0.00028;0;179.24;215.09;268.86;0;0;1;-30;30
29;40;0.00392;0.00918;0;405.62;486.74;608.43;0;0;1;-30;30
30;31;0;0.00028;0;27.84;33.41;50.12;0;0;1;-30;30
30;404;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
32;33;0.00703;0.01458;0;21.39;25.66;38.5;0;0;1;-30;30
40;34;0.00125;0.1;0;49.98;59.97;89.96;1.01;0;1;-30;30
35;36;0.01761;0.06819;0;69.46;83.35;125.03;0;0;1;-30;30
36;42;0.00559;0.0192;0;70.03;84.04;126.06;0;0;1;-30;30
37;39;0.00229;0.00818;0;204.21;245.06;306.32;0;0;1;-30;30
40;44;0.00125;0.1;0;50.75;60.9;91.35;1.01;0;1;-30;30
41;42;0.00549;0.01962;0;61.18;73.41;91.77;0;0;1;-30;30
47;49;0;0.00022;0;50;60;90;0;0;1;-30;30
48;53;0.00109;0.01324;0;505.8;606.96;910.44;0;0;1;-30;30
48;57;0.00107;0.07923;0;282.48;338.98;508.47;0.99933;0;1;-30;30
48;64;0.00084;0.01064;0;1033.31;1239.97;1859.95;1.01;0;1;-30;30
48;850;0.0001;0.01;0;506.77;608.13;760.16;0;0;1;-30;30
49;73;0.02804;0.1256;0;86.13;103.35;155.03;0;0;1;-30;30
49;77;0.01126;0.04725;0;95.54;114.65;171.98;0;0;1;-30;30
49;86;0.00538;0.02004;0;90.42;108.5;162.76;0;0;1;-30;30
49;91;0.00269;0.01294;0;121.84;146.21;182.77;0;0;1;-30;30
50;56;0;0.00022;0;50;60;90;0;0;1;-30;30
51;57;0.00071;0.00182;0;122.8;147.36;221.03;0;0;1;-30;30
51;67;0.01037;0.02151;0;121.48;145.78;218.66;0;0;1;-30;30
52;81;0;0.00022;0;50;60;90;0;0;1;-30;30
53;54;0.00165;0.07193;0;264.38;317.26;396.57;1.01;0;1;-30;30
53;89;0.00221;0.01891;0;714.68;857.62;1072.02;0;0;1;-30;30
53;659;0.0001;0.01;0;603;723.6;904.5;0;0;1;-30;30
54;57;0.02972;0.12473;0;62.34;74.81;93.51;0;0;1;-30;30
54;57;0.03336;0.11005;0;69.51;83.42;104.27;0;0;1;-30;30
54;59;0.02722;0.11886;0;81.09;97.31;121.64;0;0;1;-30;30
54;80;0.00278;0.01078;0;58.12;69.75;87.18;0;0;1;-30;30
54;95;0.00244;0.00946;0;20.17;24.21;36.31;0;0;1;-30;30
54;95;0.00215;0.00965;0;19.93;23.92;35.88;0;0;1;-30;30
54;95;0.00244;0.00935;0;20.39;24.47;36.71;0;0;1;-30;30
55;83;0.00424;0.01913;0;22.49;26.99;40.49;0;0;1;-30;30
56;61;0.00565;0.02021;0;110.14;132.17;198.26;0;0;1;-30;30
56;78;0.02361;0.05307;0;50;60;90;0;0;1;-30;30
56;81;0.00561;0.02087;0;50;60;90;0;0;1;-30;30
56;86;0.04257;0.11516;0;54.54;65.44;81.8;0;0;1;-30;30
57;66;0.00094;0.00424;0;72.25;86.7;130.05;0;0;1;-30;30
57;72;0.03196;0.14997;0;97.55;117.06;146.32;0;0;1;-30;30
57;73;0.01907;0.07388;0;59.12;70.94;106.41;0;0;1;-30;30
