bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;0.1;-1.05;0;4.11;1;1;0;138;1;1.1;0.9
2;2;0;0;0;0;1;1;0;20;1;1.1;0.9
3;1;-7.61;2.37;0;0;1;1;0;138;1;1.1;0.9
4;1;0.1;-0.34;0;0;1;1;0;138;1;1.1;0.9
5;1;0.1;-0.19;0;0;1;1;0;138;1;1.1;0.9
6;2;0;0;0;0;1;1;0;20;1;1.1;0.9
7;1;-19.32;6.4;0;0;1;1;0;138;1;1.1;0.9
8;1;-41.65;13.4;0;0;1;1;0;138;1;1.1;0.9
9;1;0.1;-0.24;0;0;1;1;0;138;1;1.1;0.9
10;2;-6.7;-8.98;0;0;1;1;0;138;1;1.1;0.9
11;1;96.28;-2.53;0;0;1;1;0;138;1;1.1;0.9
12;2;-10.41;-7.41;0;38.43;1;1;0;138;1;1.1;0.9
13;1;0.1;0.08;0;0;1;1;0;138;1;1.1;0.9
14;1;0.1;-2.08;0;0;1;1;0;138;1;1.1;0.9
15;2;0;0;0;0;1;1;0;20;1;1.1;0.9
16;2;0;0;0;0;1;1;0;20;1;1.1;0.9
17;2;0.1;-1.53;0;28.75;1;1;0;138;1;1.1;0.9
18;1;119.1;59.5;0;21.06;1;1;0;138;1;1.1;0.9
19;1;32.84;13.07;0;5.26;1;1;0;138;1;1.1;0.9
20;1;-0.54;-5.8;0;0;1;1;0;138;1;1.1;0.9
21;1;-10.71;2.92;0;0;1;1;0;138;1;1.1;0.9
22;1;0.1;-4.36;0;0;1;1;0;138;1;1.1;0.9
23;1;0.1;-2.42;0;0;1;1;0;138;1;1.1;0.9
24;2;0;0;0;0;1;1;0;20;1;1.1;0.9
25;1;0.1;-1.09;0;1.74;1;1;0;138;1;1.1;0.9
26;2;0;0;0;0;1;1;0;20;1;1.1;0.9
27;2;0;0;0;0;1;1;0;20;1;1.1;0.9
28;1;0.1;-0.38;0;0;1;1;0;138;1;1.1;0.9
29;1;160.2;89.9;0;0;1;1;0;138;1;1.1;0.9
30;2;160.2;88.7;0;-5.21;1;1;0;138;1;1.1;0.9
31;1;18.45;9.5;0;0;1;1;0;138;1;1.1;0.9
32;1;-15.12;4.75;0;0;1;1;0;138;1;1.1;0.9
33;1;0.1;-1.32;0;1.08;1;1;0;138;1;1.1;0.9
34;2;0;0;0;0;1;1;0;20;1;1.1;0.9
35;1;0.1;-3.06;0;0;1;1;0;138;1;1.1;0.9
36;1;0.1;-1.77;0;0;1;1;0;138;1;1.1;0.9
37;1;0.1;-0.36;0;0;1;1;0;138;1;1.1;0.9
38;1;0;0;0;0;1;1;0;138;1;1.1;0.9
39;1;0.1;-0.35;0;0;1;1;0;138;1;1.1;0.9
40;1;0.12;0.12;0;0;1;1;0;138;1;1.1;0.9
41;1;0.1;-1.35;0;0;1;1;0;138;1;1.1;0.9
42;1;-20.12;5.75;0;0;1;1;0;138;1;1.1;0.9
43;1;0.1;-3.79;0;0.58;1;1;0;138;1;1.1;0.9
44;2;0;0;0;0;1;1;0;20;1;1.1;0.9
45;2;0;0;0;0;1;1;0;20;1;1.1;0.9
46;1;0;0;0;0;1;1;0;138;1;1.1;0.9
47;1;0;0;0;0;2;1;0;138;2;1.1;0.9
48;1;27.05;-16.5;0;0;2;1;0;500;2;1.1;0.9
49;1;7.71;13.11;0;4.18;2;1;0;138;2;1.1;0.9
50;1;0;0;0;0.02;2;1;0;138;2;1.1;0.9
51;1;0.1;-0.4;0;0;2;1;0;138;2;1.1;0.9
52;1;0;0;0;0;2;1;0;138;2;1.1;0.9
53;1;14.8;-77.73;0;44.53;2;1;0;500;2;1.1;0.9
54;1;-15.8;-10.4;0;0;2;1;0;138;2;1.1;0.9
55;1;-15.92;4.9;0;0;2;1;0;138;2;1.1;0.9
56;1;69.38;39.78;0;19.14;2;1;0;138;2;1.1;0.9
57;1;27.05;7.96;0;0;2;1;0;138;2;1.1;0.9
58;1;0;0;0;0;2;1;0;138;2;1.1;0.9
59;1;24.13;11.14;0;0;2;1;0;138;2;1.1;0.9
60;1;0.1;-0.5;0;0;2;1;0;138;2;1.1;0.9
61;1;0.1;-1.78;0;6.93;2;1;0;138;2;1.1;0.9
62;1;0;0;0;0;2;1;0;138;2;1.1;0.9
63;1;0.1;-0.74;0;0;2;1;0;138;2;1.1;0.9
