bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;3;0;0;0;0;1;1;0;132;1;1.06;0.94
2;2;21.7;12.7;0;0;1;1;0;132;1;1.06;0.94
3;1;2.4;1.2;0;0;1;1;0;132;1;1.06;0.94
4;1;7.6;1.6;0;0;1;1;0;132;1;1.06;0.94
5;2;94.2;19;0;0;1;1;0;132;1;1.06;0.94
6;1;0;0;0;0;1;1;0;132;1;1.06;0.94
7;1;22.8;10.9;0;0;1;1;0;132;1;1.06;0.94
8;2;30;30;0;0;1;1;0;132;1;1.06;0.94
9;1;0;0;0;0;1;1;0;1;1;1.06;0.94
10;1;5.8;2;0;19;1;1;0;33;1;1.06;0.94
11;2;0;0;0;0;1;1;0;11;1;1.06;0.94
12;1;11.2;7.5;0;0;1;1;0;33;1;1.06;0.94
13;2;0;0;0;0;1;1;0;11;1;1.06;0.94
14;1;6.2;1.6;0;0;1;1;0;33;1;1.06;0.94
15;1;8.2;2.5;0;0;1;1;0;33;1;1.06;0.94
16;1;3.5;1.8;0;0;1;1;0;33;1;1.06;0.94
17;1;9;5.8;0;0;1;1;0;33;1;1.06;0.94
18;1;3.2;0.9;0;0;1;1;0;33;1;1.06;0.94
19;1;9.5;3.4;0;0;1;1;0;33;1;1.06;0.94
20;1;2.2;0.7;0;0;1;1;0;33;1;1.06;0.94
21;1;17.5;11.2;0;0;1;1;0;33;1;1.06;0.94
22;1;0;0;0;0;1;1;0;33;1;1.06;0.94
23;1;3.2;1.6;0;0;1;1;0;33;1;1.06;0.94
24;1;8.7;6.7;0;4.3;1;1;0;33;1;1.06;0.94
25;1;0;0;0;0;1;1;0;33;1;1.06;0.94
26;1;3.5;2.3;0;0;1;1;0;33;1;1.06;0.94
27;1;0;0;0;0;1;1;0;33;1;1.06;0.94
28;1;0;0;0;0;1;1;0;132;1;1.06;0.94
29;1;2.4;0.9;0;0;1;1;0;33;1;1.06;0.94
30;1;10.6;1.9;0;0;1;1;0;33;1;1.06;0.94
