BUS;P_MAX;P_MIN;Q_MAX;Q_MIN;status;P_COSTE0;P_COSTE1;P_COSTE2
272;46.9;22.026;18.01;-2.298;1;0;30;0
275;888.2;146.11;326.858;-72.832;0;0;8.281;0.00169
276;888.2;398.234;326.858;-72.832;1;0;9.109;0.001098
277;25;8.382;9.6;-1.225;1;0;30;0
277;25;2.716;9.6;-1.225;1;0;30;0
277;25;9.661;9.6;-1.225;1;0;30;0
277;25;8.651;9.6;-1.225;1;0;30;0
280;158.7;78.648;80.778;-17.616;1;-1.038;18.5;0.01007
281;158.7;68.611;80.778;-17.616;0;-1.241;18.52;0.01305
284;217.333;52.737;110.623;-24.124;1;-1.92;17.87;0.0197
285;217.333;55.415;110.623;-24.124;1;-1.692;17.82;0.01694
286;217.333;69.243;110.623;-24.124;1;-2.137;19.41;0.01915
287;217.333;64.598;110.623;-24.124;0;-1.849;18.52;0.01717
288;217.333;52.424;110.623;-24.124;0;-2.329;20.12;0.02396
289;217.333;27.479;110.623;-24.124;1;-1.566;16.5;0.02115
292;0.5;0.06;0.192;-0.025;1;0;30;0
292;0.5;0.126;0.192;-0.025;1;0;30;0
294;18;5.517;9.162;-1.998;0;-1.147;16.97;0
297;178.467;82.766;90.84;-19.81;1;-1.359;20.99;0.01219
298;178.467;86.66;90.84;-19.81;1;-1.219;17.09;0.01066
299;178.467;63.99;90.84;-19.81;0;-1.309;15.74;0.01344
300;178.467;63.655;90.84;-19.81;1;-1.534;19.37;0.01579
301;178.467;54.225;90.84;-19.81;0;-1.43;17.23;0.016
302;178.467;63.864;90.84;-19.81;1;-1.817;19.15;0.01866
303;67.5;16.712;25.92;-3.308;1;0;30;0
303;67.5;13.758;25.92;-3.308;1;0;30;0
306;7;1.745;3.262;-0.854;0;0;30;0
306;7;0.782;3.262;-0.854;1;0;30;0
307;33.7;11.636;12.941;-1.651;1;0;30;0
307;33.7;14.719;12.941;-1.651;1;0;30;0
307;33.7;6.952;12.941;-1.651;0;0;30;0
311;1164.667;186.084;428.597;-95.503;0;0;8.351;0.001698
312;1164.667;454.387;428.597;-95.503;1;0;9.206;0.001218
313;1164.667;448.244;428.597;-95.503;1;0;9.188;0.001222
316;332.617;142.367;169.302;-36.92;1;-2.889;22.58;0.01456
317;332.617;38.676;169.302;-36.92;0;-2.18;18.43;0.01987
318;332.617;36.952;169.302;-36.92;1;-2.757;19.59;0.02551
319;332.617;85.73;169.302;-36.92;1;-3.255;19.74;0.02119
320;332.617;130.581;169.302;-36.92;0;-2.543;19.17;0.01334
321;332.617;84.68;169.302;-36.92;0;-2.537;18.32;0.01662
324;120;31.702;61.08;-13.32;0;0;17.29;0.01755
325;120;52.66;61.08;-13.32;1;0;18.68;0
326;120;57.831;61.08;-13.32;1;0;18.59;0
327;120;55.972;61.08;-13.32;0;0;20.01;0
328;120;48.448;61.08;-13.32;1;0;17.63;0
329;120;20.655;61.08;-13.32;1;0;18.12;0.01531
330;1;0.259;0.466;-0.122;1;0;30;0
330;1;0.143;0.466;-0.122;1;0;30;0
330;1;0.348;0.466;-0.122;1;0;30;0
330;1;0.409;0.466;-0.122;1;0;30;0
334;69;15.846;32.154;-8.418;1;-36.1;34.42;0
335;69;12.549;32.154;-8.418;0;-42.12;31.18;0
338;234.85;113.344;119.539;-26.068;1;-1.884;20.31;0.01256
339;234.85;96.41;119.539;-26.068;1;-1.96;20.6;0.01432
340;234.85;83.983;119.539;-26.068;0;-1.616;16.14;0.01262
341;234.85;93.839;119.539;-26.068;1;-1.933;18.96;0.01423
343;179.333;41.662;83.569;-21.879;0;-3.114;32.4;0.0395
344;179.333;38.561;83.569;-21.879;1;-3.223;30.5;0.04236
345;179.333;80.146;83.569;-21.879;0;-2.792;31.94;0.02547
346;48.5;17.591;24.687;-5.384;1;-7.369;15.88;0
346;48.5;22.675;24.687;-5.384;1;0;16.24;0
347;75;36.562;28.8;-3.675;0;0;30;0
347;75;33.345;28.8;-3.675;1;0;30;0
347;75;29.918;28.8;-3.675;1;0;30;0
350;28.8;6.676;11.059;-1.411;1;0;30;0
351;28.8;14.185;11.059;-1.411;1;0;30;0
351;28.8;11.192;11.059;-1.411;1;0;30;0
351;28.8;10.034;11.059;-1.411;1;0;30;0
354;110;33.177;55.99;-12.21;1;-59.22;18.25;0
356;30.333;13.679;11.648;-1.486;1;0;30;0
356;30.333;5.625;11.648;-1.486;1;0;30;0
356;30.333;12.388;11.648;-1.486;0;0;30;0
357;21.2;6.174;9.879;-2.586;1;0;30;0
358;52.65;20.275;20.218;-2.58;1;0;30;0
358;52.65;25.147;20.218;-2.58;1;0;30;0
358;52.65;19.396;20.218;-2.58;1;0;30;0
358;52.65;15.946;20.218;-2.58;0;0;30;0
359;27.6;11.587;14.048;-3.064;0;0;16.89;0
359;27.6;13.293;14.048;-3.064;1;0;17.24;0
362;705.5;78.707;328.763;-86.071;1;-16.6;32.4;0.07238
363;705.5;78.191;328.763;-86.071;1;-22.21;41.56;0.09706
364;705.5;259.966;328.763;-86.071;0;-24.9;60.65;0.06372
365;705.5;286.113;328.763;-86.071;1;-18.86;57.64;0.04619
367;20.5;2.229;7.872;-1.005;1;0;30;0
368;20.5;9.051;7.872;-1.005;1;0;30;0
368;20.5;6.32;7.872;-1.005;0;0;30;0
369;20.5;9.565;7.872;-1.005;0;0;30;0
371;284.2;73.732;132.437;-34.672;1;-7.252;35.08;0.05511
372;284.2;133.898;132.437;-34.672;1;-6.465;40.51;0.03611
375;25;6.759;12.725;-2.775;1;-2.082;16.81;0
