F_BUS;T_BUS;R;X;BSh;L_SMAX;status
2;212;0.0154525;0.0792528;0.0268017;239.94;1
3;53;0.00358046;0.0258456;0.0131628;260.03;1
3;53;0.00358046;0.0258456;0.0131628;260.03;1
3;213;0.00319977;0.0219502;0.0125158;256.59;1
4;5;0.00696197;0.0360534;0.0111497;218.77;1
4;331;0.00775811;0.0380507;0.0134745;227.23;1
5;331;0.00487853;0.02675;0.00815727;198.63;1
5;351;0.0124676;0.0654224;0.0163807;269.59;1
6;331;0.0051151;0.0236629;0.0391647;336.94;1
8;461;0.00268087;0.0132507;0.00588479;232.73;1
10;11;0.0133436;0.0919039;0.0115271;212.51;1
10;406;0.00631471;0.0440302;0.0307124;216.36;1
11;58;0.0286556;0.128792;0.0377904;204.21;1
12;10;0.00363287;0.0200568;0.0589258;206.37;1
12;406;0.00340925;0.0206369;0.0061444;233.32;1
13;17;0.0100597;0.0575367;0.0312509;227.86;1
14;156;0.00832308;0.0444584;0.0151703;264.27;1
15;55;0.0113961;0.0625895;0.0161825;218.52;1
16;162;0.012951;0.0665246;0.0176437;224.35;1
16;304;0.00759675;0.0410247;0.0264718;236.54;1
18;19;0.0106007;0.0397642;0.0085879;245.27;1
18;81;0.00978753;0.0448943;0.023169;223.47;1
18;310;0.004373;0.0260086;0.0242791;277.5;1
18;310;0.004373;0.0260086;0.0242791;277.5;1
19;141;0.00579211;0.0290206;0.0189553;251;1
19;436;0.00397383;0.0271653;0.0337435;212.6;1
20;22;0.000207968;0.00111847;0;99999;1
21;23;0.00250938;0.0172465;0.0313608;248.08;1
22;295;0.0015308;0.016473;0.364525;1075.02;1
22;405;0.002026;0.028747;1.00897;1001.46;1
23;179;0.008727;0.054891;0.034891;236.33;1
24;4;0.00353554;0.0227525;0.0272812;241.53;1
24;56;0.00957472;0.0499942;0.0131242;244.03;1
25;27;0.000257042;0.00119754;0;99999;1
25;314;0.00158469;0.0214403;0.275456;1151.39;1
28;29;0.0121765;0.0608641;0.0130017;207.91;1
