fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
3097;659;0.000730;0.00905;0;1205;3480;3480;0;0;1;-30;30
9024;4929;0.001920;0.02296;0;909;1371;1371;0;0;1;-30;30
1815;6542;0.014310;0.05899;0;521;521;521;0;0;1;-30;30
6542;1445;0.026070;0.07168;0;415;415;415;0;0;1;-30;30
6069;6833;0.000540;0.00465;0;1600;6748;6748;0;0;1;-30;30
6069;2268;0.001260;0.01124;0;1633;2793;2793;0;0;1;-30;30
6069;7180;0.000480;0.00527;0;1567;5970;5970;0;0;1;-30;30
6069;6293;0.000820;0.00938;0;1600;3355;3355;0;0;1;-30;30
1968;9192;0.000280;0.003502;0;8992;8992;8992;0;0;1;-30;30
1968;3493;0.691467;4.414711;0;8;8;8;0;0;1;-30;30
1968;955;0.020040;0.0916;0;337;337;337;0;0;1;-30;30
1968;228;0.841911;4.768444;0;7;7;7;0;0;1;-30;30
1968;6826;0.026000;0.08948;0;339;339;339;0;0;1;-30;30
1968;8964;0.002631;0.011889;0;319;2595;2595;0;0;1;-30;30
1968;5776;0.723200;1.944;0;16;16;16;0;0;1;-30;30
9192;955;0.156169;0.546756;0;56;56;56;0;0;1;-30;30
9192;6826;0.168809;0.580622;0;53;53;53;0;0;1;-30;30
9192;8964;0.019222;0.068209;0;446;446;446;0;0;1;-30;30
8574;1616;0.000390;0.00386;0;1435;8142;8142;0;0;1;-30;30
8574;1163;0.000960;0.01138;0;1468;2766;2766;0;0;1;-30;30
8574;9064;0.000370;0.00325;0;1435;9657;9657;0;0;1;-30;30
8574;8921;0.000290;0.00339;0;1600;9284;9284;0;0;1;-30;30
3493;2299;0.009458;0.158871;0;199;199;199;0;0;1;-30;30
2299;4423;0.000000;0.000222;0;142286;142286;142286;0;0;1;-30;30
6826;2299;0.312951;7.130667;0;5;5;5;0;0;1;-30;30
7563;2299;0.247649;1.075911;0;29;29;29;0;0;1;-30;30
4427;2299;0.060560;0.18612;0;162;162;162;0;0;1;-30;30
8335;2299;2.142489;4.347733;0;7;7;7;0;0;1;-30;30
5155;2299;0.071320;1.068889;0;30;30;30;0;0;1;-30;30
271;2299;0.022680;0.08652;0;354;354;354;0;0;1;-30;30
2449;2299;2.007778;4.494222;0;7;7;7;0;0;1;-30;30
4665;2299;0.006178;0.028938;0;1068;1068;1068;0;0;1;-30;30
4495;2299;0.027711;0.260951;0;121;121;121;0;0;1;-30;30
3493;5587;0.000000;0.000222;0;319;142286;142286;0;0;1;-30;30
4586;3493;0.006920;0.337378;0;94;94;94;0;0;1;-30;30
