bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
89;1;0;0;0.199111;4.530599;0;1;0;380;2;1.1;0.9
228;1;-23.43;57.4;0;0;0;1;0;150;2;1.1;0.9
271;1;96.7;26.8;0;0;0;1;0;150;2;1.1;0.9
317;1;0;0;0.045946;-1.82203;0;1;0;380;2;1.1;0.9
659;1;0;0;0.174507;73.977052;0;1;0;380;2;1.1;0.9
792;1;295.3;41.9;0;0;0;1;0;150;2;1.1;0.9
913;3;0;0;0;0;0;1;0;380;2;1.1;0.9
955;1;244.2;152.7;0;0;0;1;0;150;2;1.1;0.9
1037;1;0;0;0;0.55;0;1;0;380;2;1.1;0.9
1163;1;0;0;0;16.04;0;1;0;380;2;1.1;0.9
1317;1;149.3;-2;0;20.77;0;1;0;380;2;1.1;0.9
1367;1;0;0;0.175687;-1.509401;0;1;0;380;2;1.1;0.9
1445;1;238.4;210.9;0;0;0;1;0;220;2;1.1;0.9
1531;1;0;0;0;0;0;1;0;150;2;1.1;0.9
1579;1;0;0;0;16.56;0;1;0;380;2;1.1;0.9
1611;1;274.1;166.5;0;0.56;0;1;0;150;2;1.1;0.9
1616;1;0;0;0;14.45;0;1;0;380;2;1.1;0.9
1676;1;0;0;0.171586;-1.4632;0;1;0;380;2;1.1;0.9
1815;1;63.66;9.7;0;0;0;1;0;220;2;1.1;0.9
1968;1;118.4;137;0;0;0;1;0;150;2;1.1;0.9
2107;2;0;0;0;0;0;1;0;380;2;1.1;0.9
2154;1;-357.45;33.05;0.29;-5.6;0;1;0;380;2;1.1;0.9
2168;1;8.6;-1.48;0;0;0;1;0;150;2;1.1;0.9
2267;2;0;0;0;0;0;1;0;380;2;1.1;0.9
2268;1;0;0;0.183167;22.675025;0;1;0;380;2;1.1;0.9
2299;1;402.1;110.2;0;0;0;1;0;150;2;1.1;0.9
2441;1;0;0;0.242534;1.143584;0;1;0;380;2;1.1;0.9
2449;1;301.9;-103.2;0;0;0;1;0;150;2;1.1;0.9
2520;1;0;0;0.057433;3.80797;0;1;0;380;2;1.1;0.9
2870;1;0;0;0;0.62;0;1;0;380;2;1.1;0.9
2908;1;203.8;61;0;0.6;0;1;0;150;2;1.1;0.9
3097;1;361.91;3.66;0;9.39;0;1;0;380;2;1.1;0.9
3242;1;296.1;82.3;0;0;0;1;0;150;2;1.1;0.9
3279;1;0;0;0;0;0;1;0;150;2;1.1;0.9
3493;1;226.3;61.1;0;0;0;1;0;150;2;1.1;0.9
3506;1;0;0;0;0.6;0;1;0;150;2;1.1;0.9
3659;2;0;0;0;0;0;1;0;380;2;1.1;0.9
4014;1;0;0;0;0;0;1;0;150;2;1.1;0.9
4423;1;0;0;0;0.33;0;1;0;150;2;1.1;0.9
4427;1;296.8;77.7;0;0;0;1;0;150;2;1.1;0.9
4495;1;336.3;104.4;0;0;0;1;0;150;2;1.1;0.9
4586;2;0;0;0;0;0;1;0;150;2;1.1;0.9
4665;1;390.5;62.5;0;0;0;1;0;150;2;1.1;0.9
4929;1;37;8.7;0.070441;50.913893;0;1;0;380;2;1.1;0.9
5097;2;0;0;0;0;0;1;0;150;2;1.1;0.9
5155;1;411.3;168;0;0;0;1;0;150;2;1.1;0.9
5210;1;347.61;74.37;0;0;0;1;0;220;2;1.1;0.9
5416;1;0;0;0;25.13;0;1;0;380;2;1.1;0.9
5509;1;0;0;0.314057;17.296509;0;1;0;380;2;1.1;0.9
5587;1;0;0;0;0.33;0;1;0;150;2;1.1;0.9
5762;1;0;0;0;2.23;0;1;0;380;2;1.1;0.9
5776;1;222.7;80.5;0;0;0;1;0;150;2;1.1;0.9
5848;1;0;0;0.29;-0.42;0;1;0;380;2;1.1;0.9
5996;1;0;0;0.164188;4.023827;0;1;0;380;2;1.1;0.9
6069;1;-456.66;-131.97;0.285753;35.371068;0;1;0;380;2;1.1;0.9
6233;2;0;0;0;0;0;1;0;380;2;1.1;0.9
6293;1;0;0;0;33.66;0;1;0;380;2;1.1;0.9
6542;1;355.98;-147.98;0;0;0;1;0;220;2;1.1;0.9
6704;1;0;0;0.211099;0.672832;0;1;0;380;2;1.1;0.9
6798;2;0;0;0;0;0;1;0;380;2;1.1;0.9
6826;1;326.9;-82.3;0;0;0;1;0;150;2;1.1;0.9
6833;1;0;0;0.246363;4.841277;0;1;0;380;2;1.1;0.9
7051;1;0;0;0;21.19;0;1;0;380;2;1.1;0.9
7180;1;0;0;0.234234;4.220723;0;1;0;380;2;1.1;0.9
7279;2;0;0;0;0;0;1;0;150;2;1.1;0.9
7526;1;-179.73;-63.08;0;0;0;1;0;380;2;1.1;0.9
7563;1;531.7;-12.8;0;0;0;1;0;150;2;1.1;0.9
7637;1;0;0;0.29;6.18;0;1;0;380;2;1.1;0.9
