fbus;tbus;flujo
16;1;87.36
1;355;87.36
17;2;144.01
2;354;144.01
10;3;117.64
3;219;39.89
3;220;77.75
4;7;210.1
11;4;147.67
14;4;134.12
16;4;154.84
4;22;75.6
4;245;97.29
4;246;53.64
6;5;302.3
5;7;49.52
5;10;92.78
5;309;160.0
5;309;160.0
8;6;295.6
6;9;162.57
6;15;123.74
31;6;543.01
6;310;250.0
7;12;25.13
13;7;28.0
7;19;29.29
7;21;130.41
29;7;215.23
7;321;177.76
7;322;140.26
18;8;295.6
9;332;162.57
10;171;63.5
346;10;14.69
10;347;58.32
16;11;201.39
17;11;245.84
11;111;88.1
11;352;119.85
11;353;91.62
140;12;122.87
12;359;94.41
12;360;53.59
29;13;194.31
13;365;79.63
13;366;86.67
17;14;271.79
14;367;78.35
14;368;59.31
18;15;467.22
15;165;416.6
15;374;174.37
16;18;152.56
16;73;68.96
17;18;222.3
17;74;119.06
18;20;147.46
18;75;46.36
18;76;68.03
18;101;153.48
124;19;100.1
19;425;129.39
67;20;18.46
20;447;93.86
20;448;72.07
21;502;130.41
112;22;5.83
22;526;69.87
22;527;11.56
23;37;30.67
46;23;64.39
53;23;67.5
23;540;101.22
54;24;55.24
24;545;55.24
41;25;84.69
25;53;98.86
54;25;72.87
25;564;58.7
38;26;71.11
26;568;71.11
28;27;62.81
27;33;98.36
27;48;63.85
74;27;99.39
28;47;73.89
88;28;136.7
30;29;74.05
32;29;152.06
29;45;83.46
29;48;56.94
29;613;50.18
30;46;83.59
30;49;53.96
31;32;461.25
39;31;25.24
32;36;309.19
33;615;98.36
34;35;143.88
51;34;219.19
34;183;75.31
35;183;74.69
35;617;69.19
36;644;155.91
36;645;153.28
38;37;21.0
37;663;51.66
55;38;92.11
40;39;105.16
39;682;79.92
44;40;269.28
40;679;164.11
41;42;224.86
43;41;82.2
80;41;39.34
42;47;69.31
42;54;128.11
42;689;85.45
43;44;194.45
43;99;109.38
44;50;311.19
46;45;19.21
49;45;14.97
47;706;71.61
47;707;71.58
48;49;40.58
48;717;80.21
49;716;79.57
50;51;322.32
98;50;69.2
100;50;48.2
50;726;106.27
51;727;103.12
53;52;31.35
52;754;31.35
181;55;175.0
55;778;82.89
74;56;100.67
56;796;100.67
81;57;22.98
80;58;21.98
63;59;55.74
82;59;17.14
59;821;72.89
85;60;40.35
104;60;82.76
60;834;51.77
60;836;71.34
62;61;35.32
61;64;79.72
109;61;249.0
61;184;204.6
62;82;213.68
110;62;249.0
63;71;203.31
63;91;118.85
63;94;183.66
63;96;51.07
64;69;114.18
64;79;177.14
64;93;159.31
64;95;43.72
65;90;43.46
91;65;56.85
67;66;142.86
68;66;71.08
66;152;213.93
