bus;anguloGrados
1;1.62
2;2.24
3;-25.55
4;-3.71
5;-14.27
6;-8.99
7;-15.4
8;-6.74
9;-12.41
10;-20.23
11;-2.36
12;-16.66
13;-15.19
14;-1.23
15;-11.41
16;2.2
17;3.21
18;0.0
19;-16.08
20;-0.63
21;-15.89
22;-5.57
23;-9.87
24;-7.18
25;-5.43
26;-13.22
27;-5.28
28;-5.27
29;-6.15
30;-6.15
31;-4.3
32;-4.33
33;-6.12
34;-5.76
35;-5.76
36;-7.68
37;-11.11
38;-11.11
39;-3.99
40;-3.99
41;-3.42
42;-3.43
43;-2.0
44;-2.01
45;-8.08
46;-8.08
47;-6.04
48;-7.55
49;-7.55
50;-3.97
51;-3.99
52;-7.49
53;-7.34
54;-5.37
55;-10.01
56;-1.9
57;-2.49
58;-2.49
59;5.69
60;0.58
61;7.72
62;7.72
63;6.14
64;5.96
65;3.78
66;-1.98
67;-0.27
68;-1.03
69;4.02
70;-0.97
71;2.55
72;2.55
73;-0.26
74;-1.16
75;-0.63
76;-0.63
77;1.99
78;-0.19
79;3.49
80;-2.43
81;-2.43
82;6.38
83;4.01
84;4.01
85;1.95
86;1.95
87;1.11
88;1.12
89;3.88
90;2.75
91;4.25
92;-2.8
93;4.81
94;4.81
95;4.9
96;4.9
97;-0.32
98;-3.26
99;-3.25
100;-2.44
101;-2.44
102;4.03
103;2.51
104;2.52
105;-2.26
106;-2.27
107;-1.27
108;-1.03
109;8.6
110;8.6
111;-5.49
112;-5.49
113;-14.66
114;-13.17
115;-10.35
116;-10.35
117;-19.77
118;-28.13
119;-28.13
120;-26.05
121;-15.79
122;-15.79
123;-8.99
124;-8.99
125;-24.24
126;-24.23
127;-17.24
128;-17.25
129;-21.82
130;-22.1
131;-9.2
132;-9.23
133;-7.99
134;-7.99
135;-27.98
136;-27.98
137;-8.23
138;-8.23
139;-9.19
140;-9.2
141;-26.22
142;-28.37
143;-21.18
144;-21.18
145;-20.97
146;-20.97
147;-18.84
148;-18.83
149;-21.94
150;-14.03
151;-14.04
152;-12.14
153;-12.14
154;-20.89
155;-19.43
156;-21.32
157;-19.51
158;-19.51
159;-18.46
160;-18.46
161;-23.67
162;-23.67
163;-20.19
164;-20.19
165;-17.31
166;-18.51
167;-18.51
168;-20.77
169;-20.78
170;-24.02
171;-24.02
172;-21.24
173;-21.23
174;-18.94
175;-18.94
176;-16.63
177;-16.63
178;-23.81
179;-23.81
180;-5.13
181;-1.64
182;-7.69
183;-6.74
184;-0.57
185;-5.92
186;-24.39
187;-22.04
188;-31.8
189;-25.67
190;-2.71
191;-4.17
192;-18.69
193;-18.52
194;-18.95
195;-22.0
196;-24.73
197;-11.86
198;-21.44
199;-5.24
200;-21.32
201;-26.57
202;-20.18
203;-21.65
204;-8.34
205;-6.01
206;-22.45
207;-3.91
208;-10.08
209;-24.93
210;-6.16
211;-25.09
212;-23.48
213;-23.62
214;-26.11
215;-6.15
216;-4.13
217;-19.85
218;-28.62
219;-27.09
220;-28.56
221;-34.54
222;-19.74
223;-14.12
224;-22.41
225;-30.88
226;-26.35
227;-26.58
228;-4.69
229;-9.86
230;-35.22
231;-18.6
232;-18.89
233;-25.83
234;-3.65
235;-2.07
236;-22.17
237;-22.57
238;-19.03
239;-20.52
240;-33.87
241;-21.69
242;-21.7
243;-17.45
244;-18.79
245;-7.56
246;-5.83
247;-11.49
248;-20.41
249;-22.68
250;-19.72
251;-2.35
252;-4.65
253;-7.52
254;-9.26
255;-25.79
256;-21.81
257;-22.76
258;-11.62
259;-20.08
260;-18.14
261;-6.12
262;-19.98
263;-21.32
264;-23.48
265;-11.64
266;-8.21
267;-8.37
268;-6.16
269;-20.05
270;-5.98
271;-6.57
272;-6.1
273;-6.17
274;-7.58
275;-8.41
276;-8.11
277;-7.89
278;-8.27
279;-5.89
280;-8.38
281;-7.42
282;-5.99
283;-10.35
284;-20.17
285;-23.35
286;-23.73
287;-21.68
288;-7.53
289;-7.81
290;-23.08
291;-6.07
292;-8.05
293;-8.09
294;-22.77
295;-23.06
296;-8.1
297;-8.02
298;-8.19
299;-8.1
300;-17.92
301;-10.16
302;-23.14
303;-26.78
304;-6.15
305;-23.81
306;-17.46
307;-22.05
308;-19.81
309;-17.41
310;-17.85
311;-18.59
312;-18.59
313;-31.25
314;-22.08
315;-26.67
316;-7.22
317;-21.26
318;-21.53
319;-4.34
320;-23.04
321;-18.83
322;-20.85
323;-20.21
324;-22.06
325;-20.56
326;-10.36
327;-20.06
328;-18.88
329;-20.54
330;-17.68
331;-18.79
332;-17.29
333;-24.26
334;-24.55
335;-27.4
336;-23.58
337;-23.9
338;-9.47
339;-6.63
340;-31.21
341;-26.53
342;-10.09
343;-23.8
344;-20.01
345;-23.81
346;-19.66
347;-22.52
348;-24.3
349;-19.2
350;-9.89
351;-21.12
352;-7.1
353;-5.98
354;-3.21
355;-1.69
356;-19.34
357;-22.26
358;-8.74
359;-20.24
360;-18.69
361;-18.85
362;-21.11
363;-22.3
364;-10.29
365;-18.34
366;-18.62
367;-4.29
368;-3.58
369;-26.98
370;-4.29
371;-20.49
372;-15.23
373;-21.11
374;-17.59
375;-20.48
376;-3.62
377;-23.9
378;-20.36
379;-22.97
380;-8.69
381;-20.3
382;-21.48
383;-21.3
384;-22.32
385;-22.01
386;-24.75
387;-23.09
388;-22.82
389;-21.69
390;-5.12
391;-7.26
392;-6.09
393;-20.73
394;-10.9
395;-21.82
396;-8.21
397;-24.11
398;-24.4
399;-6.1
400;-6.18
401;-33.9
402;-1.75
403;-3.78
404;-6.14
405;-6.28
406;-7.61
407;-8.9
408;-6.41
409;-11.38
410;-9.02
411;-21.8
412;-21.45
413;-21.02
414;-34.17
415;-23.53
416;-18.79
417;-4.69
418;-23.11
419;-7.75
420;-18.37
421;-23.64
422;-11.88
423;-22.58
424;-9.75
425;-21.14
426;-23.19
427;-11.11
428;-20.69
429;-6.12
430;-14.57
431;-9.54
432;-20.78
433;-4.49
434;-33.73
435;-17.87
436;-20.09
437;-29.19
438;-20.43
439;-10.34
440;-20.06
441;-6.02
442;-26.54
443;-25.21
444;-6.11
445;-7.62
446;-6.41
447;-3.92
448;-3.16
449;-7.62
450;-6.41
451;-18.84
452;-20.75
453;-18.83
454;-19.06
455;-21.26
456;-20.64
457;-21.3
458;-23.48
459;-23.05
460;-23.81
461;-21.57
